Flicknamn 1998;;;;;;;;Innehåll;;;;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 1998.   ;;;;;;;;;;;;
Namnen redovisas under den vanligaste stavningen,;;;;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;;;;
;;;;;;;;;;;;
Rangordning;;;;Bokstavsordning;;;;;;;;
Nr;Namn;Antal;Per;Namn;Antal;Per;Nr;;;;;
;;bärare;1000;;bärare;1000;;;;;;
1;Emma;1 468;33;Agnes;222;5;55;;;;;
2;Julia;1 171;27;Alexandra;298;7;41;;;;;
3;Elin;1 043;24;Alice;395;9;28;;;;;
4;Amanda;1 037;23;Alicia;240;5;50;;;;;
5;Hanna;1 006;23;Alma;144;3;74;;;;;
6;Linnéa;936;21;Alva;292;7;42;;;;;
7;Matilda;847;19;Amanda;1 037;23;4;;;;;
8;Wilma;838;19;Andrea;111;3;83;;;;;
9;Moa;780;18;Angelica;130;3;80;;;;;
10;Ida;749;17;Anna;544;12;20;;;;;
10;Johanna;749;17;Annie;155;3;71;;;;;
12;Sara;743;17;Astrid;101;2;88;;;;;
13;Felicia;727;16;Beatrice;88;2;93;;;;;
14;Emelie;636;14;Carolina;186;4;62;;;;;
15;Josefine;630;14;Caroline;270;6;48;;;;;
16;Frida;611;14;Cassandra;101;2;88;;;;;
17;Sofia;586;13;Cecilia;151;3;72;;;;;
18;Ebba;578;13;Cornelia;199;5;58;;;;;
19;Rebecka;570;13;Daniella;106;2;84;;;;;
20;Anna;544;12;Denise;88;2;93;;;;;
21;Klara;510;12;Ebba;578;13;18;;;;;
22;Maja;459;10;Elin;1 043;24;3;;;;;
23;Lovisa;442;10;Elina;103;2;85;;;;;
24;Nathalie;420;10;Ella;199;5;58;;;;;
25;Malin;413;9;Ellen;379;9;31;;;;;
26;Sandra;409;9;Ellinor;166;4;69;;;;;
27;Fanny;405;9;Elsa;225;5;54;;;;;
28;Alice;395;9;Elvira;134;3;78;;;;;
29;Isabelle;394;9;Emelie;636;14;14;;;;;
30;Lisa;384;9;Emilia;310;7;39;;;;;
31;Ellen;379;9;Emily;76;2;100;;;;;
31;Olivia;379;9;Emma;1 468;33;1;;;;;
33;Linn;373;8;Emmy;188;4;61;;;;;
34;Jennifer;348;8;Erika;234;5;53;;;;;
35;Mikaela;347;8;Evelina;315;7;38;;;;;
36;Victoria;324;7;Fanny;405;9;27;;;;;
37;Louise;322;7;Felicia;727;16;13;;;;;
38;Evelina;315;7;Filippa;256;6;49;;;;;
39;Lina;310;7;Frida;611;14;16;;;;;
39;Emilia;310;7;Gabriella;143;3;75;;;;;
41;Alexandra;298;7;Hanna;1 006;23;5;;;;;
42;Alva;292;7;Ida;749;17;10;;;;;
43;Kajsa;284;6;Isabella;237;5;51;;;;;
43;Madeleine;284;6;Isabelle;394;9;29;;;;;
45;Jenny;281;6;Jasmine;167;4;67;;;;;
46;Sofie;279;6;Jennifer;348;8;34;;;;;
47;Sanna;277;6;Jenny;281;6;45;;;;;
48;Caroline;270;6;Jessica;205;5;57;;;;;
49;Filippa;256;6;Johanna;749;17;10;;;;;
50;Alicia;240;5;Jonna;151;3;72;;;;;
51;Maria;237;5;Josefine;630;14;15;;;;;
51;Isabella;237;5;Julia;1 171;27;2;;;;;
53;Erika;234;5;Kajsa;284;6;43;;;;;
54;Elsa;225;5;Karin;103;2;85;;;;;
55;Agnes;222;5;Klara;510;12;21;;;;;
56;Nellie;218;5;Kristina;103;2;85;;;;;
57;Jessica;205;5;Lina;310;7;39;;;;;
58;Linda;199;5;Linda;199;5;58;;;;;
58;Ella;199;5;Linn;373;8;33;;;;;
58;Cornelia;199;5;Linnéa;936;21;6;;;;;
61;Emmy;188;4;Lisa;384;9;30;;;;;
62;Carolina;186;4;Louise;322;7;37;;;;;
63;Stina;185;4;Lovisa;442;10;23;;;;;
64;Therese;177;4;Madeleine;284;6;43;;;;;
65;Saga;174;4;Maja;459;10;22;;;;;
66;Nora;172;4;Malin;413;9;25;;;;;
67;Tilda;167;4;Maria;237;5;51;;;;;
67;Jasmine;167;4;Matilda;847;19;7;;;;;
69;Ellinor;166;4;Melissa;76;2;100;;;;;
70;Ronja;156;4;Michelle;141;3;76;;;;;
71;Annie;155;3;Mikaela;347;8;35;;;;;
72;Cecilia;151;3;Miranda;79;2;97;;;;;
72;Jonna;151;3;Moa;780;18;9;;;;;
