Flicknamn 2000;;;;;;;;Innehåll
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2000.   ;;;;;;;;
Namnen redovisas under den vanligaste stavningen,;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;
;;;;;;;;
Rangordning;;;;Bokstavsordning;;;;
Nr;Namn;Antal;Per;Namn;Antal;Per;Nr;
;;bärare;1000;;bärare;1000;;
1;Julia;1 246;28;Agnes;271;6;44;
2;Emma;1 190;27;Alexandra;316;7;39;
3;Wilma;1 139;26;Alice;462;10;25;
4;Hanna;1 024;23;Alicia;191;4;61;
5;Elin;1 003;22;Alma;235;5;53;
6;Linnéa;988;22;Alva;458;10;26;
7;Amanda;888;20;Amanda;888;20;7;
8;Ida;812;18;Andrea;117;3;84;
9;Matilda;810;18;Angelica;81;2;98;
10;Moa;743;17;Anna;476;11;22;
10;Maja;743;17;Annie;130;3;80;
12;Sara;741;17;Astrid;126;3;81;
13;Ebba;684;15;Beatrice;70;2;99;
14;Felicia;675;15;Carolina;117;3;84;
15;Emilia;603;14;Caroline;153;3;72;
16;Klara;579;13;Cassandra;103;2;90;
17;Josefine;577;13;Cecilia;135;3;78;
18;Johanna;552;12;Cornelia;220;5;57;
19;Emelie;545;12;Daniella;87;2;94;
20;Linn;497;11;Ebba;684;15;13;
20;Sofia;497;11;Elin;1 003;22;5;
22;Frida;476;11;Elina;136;3;77;
22;Anna;476;11;Ella;267;6;45;
24;Ellen;463;10;Ellen;463;10;24;
25;Alice;462;10;Ellinor;175;4;68;
26;Alva;458;10;Elsa;259;6;48;
27;Isabelle;454;10;Elvira;171;4;69;
28;Olivia;435;10;Emelie;545;12;19;
29;Rebecca;428;10;Emilia;603;14;15;
30;Lisa;405;9;Emma;1 190;27;2;
31;Lovisa;403;9;Emmy;223;5;54;
32;Nathalie;402;9;Erika;189;4;63;
33;Jennifer;395;9;Evelina;275;6;43;
33;Tilda;395;9;Fanny;331;7;36;
35;Kajsa;338;8;Felicia;675;15;14;
36;Fanny;331;7;Filippa;322;7;37;
37;Filippa;322;7;Frida;476;11;22;
38;Sandra;320;7;Gabriella;124;3;82;
39;Alexandra;316;7;Hanna;1 024;23;4;
40;Saga;295;7;Hilda;86;2;95;
41;Lina;280;6;Ida;812;18;8;
42;Tilde;276;6;Isabella;245;5;50;
43;Evelina;275;6;Isabelle;454;10;27;
44;Agnes;271;6;Jasmine;176;4;67;
45;Ella;267;6;Jennifer;395;9;33;
46;Victoria;266;6;Jenny;222;5;55;
47;Malin;262;6;Jessica;161;4;70;
48;Elsa;259;6;Johanna;552;12;18;
49;Nora;250;6;Jonna;153;3;72;
50;Isabella;245;5;Josefine;577;13;17;
51;Sanna;242;5;Julia;1 246;28;1;
52;Louise;236;5;Kajsa;338;8;35;
53;Alma;235;5;Karin;103;2;90;
54;Emmy;223;5;Klara;579;13;16;
55;Jenny;222;5;Lina;280;6;41;
56;Madeleine;221;5;Linda;111;2;87;
57;Cornelia;220;5;Linn;497;11;20;
58;Sofie;197;4;Linnéa;988;22;6;
59;Nellie;196;4;Lisa;405;9;30;
60;Mikaela;195;4;Louise;236;5;52;
61;Alicia;191;4;Lovisa;403;9;31;
61;Maria;191;4;Madeleine;221;5;56;
63;Erika;189;4;Maja;743;17;10;
64;Tova;187;4;Malin;262;6;47;
65;Ronja;184;4;Maria;191;4;61;
66;My;178;4;Matilda;810;18;9;
67;Jasmine;176;4;Melissa;88;2;93;
68;Ellinor;175;4;Michelle;108;2;88;
69;Elvira;171;4;Mikaela;195;4;60;
70;Jessica;161;4;Miranda;83;2;96;
71;Stina;157;4;Moa;743;17;10;
72;Jonna;153;3;Molly;118;3;83;
72;Caroline;153;3;My;178;4;66;
74;Tove;151;3;Nathalie;402;9;32;
75;Nicole;139;3;Nellie;196;4;59;
76;Thea;138;3;Nicole;139;3;75;
77;Elina;136;3;Nora;250;6;49;
78;Cecilia;135;3;Olivia;435;10;28;
79;Vendela;133;3;Rebecca;428;10;29;
80;Annie;130;3;Ronja;184;4;65;
81;Astrid;126;3;Saga;295;7;40;
82;Gabriella;124;3;Sandra;320;7;38;
83;Molly;118;3;Sanna;242;5;51;
84;Andrea;117;3;Sara;741;17;12;
84;Carolina;117;3;Selma;115;3;86;
86;Selma;115;3;Sofia;497;11;20;
87;Linda;111;2;Sofie;197;4;58;
88;Michelle;108;2;Stina;157;4;71;
88;Tuva;108;2;Thea;138;3;76;
90;Karin;103;2;Therese;95;2;92;
90;Cassandra;103;2;Tilda;395;9;33;
92;Therese;95;2;Tilde;276;6;42;
93;Melissa;88;2;Tova;187;4;64;
94;Daniella;87;2;Tove;151;3;74;
95;Hilda;86;2;Tuva;108;2;88;
96;Miranda;83;2;Vanessa;83;2;96;
96;Vanessa;83;2;Vendela;133;3;79;
98;Angelica;81;2;Vera;69;2;100;
99;Beatrice;70;2;Victoria;266;6;46;
100;Vera;69;2;Wilma;1 139;26;3;
