Flicknamn 2006;;;;;;;;Innehåll;;;;;;;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2006.   ;;;;;;;;;;;;;;;
Namnen redovisas under den vanligaste stavningen,;;;;;;;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;;;;;;;
2006;2005;Namn;Antal;Per;Namn;Antal;Per;2006;2005;;;;;;
;;;bärare;1000;;bärare;1000;;;;;;;;
1;(1);Emma ;1019;19;Agnes;927;18;3;(26);;;;;;
1;(2);Maja;1019;19;Alexandra;180;3;72;(66);;;;;;
3;(26);Agnes;927;18;Alice;802;15;9;(4);;;;;;
4;(3);Julia;921;18;Alicia;370;7;37;(37);;;;;;
5;(8);Alva;916;17;Alma;415;8;31;(31);;;;;;
6;(6);Linnea;854;16;Alva;916;17;5;(8);;;;;;
7;(12);Wilma;852;16;Amanda;549;10;18;(15);;;;;;
8;(5);Ida;850;16;Amelia;149;3;78;(81);;;;;;
9;(4);Alice;802;15;Angelina;153;3;76;(Ny);;;;;;
10;(7);Elin;771;15;Anna;293;6;47;(46);;;;;;
11;(10);Ella;765;15;Annie;117;2;95;(84);;;;;;
12;(13);Klara;749;14;Astrid;242;5;55;(72);;;;;;
13;(9);Hanna;719;14;Cornelia;271;5;50;(48);;;;;;
14;(11);Ebba;705;13;Ebba;705;13;14;(11);;;;;;
15;(19);Emilia;640;12;Elin;771;15;10;(7);;;;;;
16;(17);Elsa;628;12;Elina;199;4;67;(60);;;;;;
17;(14);Moa;622;12;Ella;765;15;11;(10);;;;;;
18;(15);Amanda;549;10;Ellen;506;10;25;(25);;;;;;
19;(24);Saga;538;10;Elsa;628;12;16;(17);;;;;;
20;(21);Isabelle;535;10;Elvira;268;5;51;(57);;;;;;
21;(22);Felicia;533;10;Emelie;331;6;41;(30);;;;;;
21;(29);Nellie;533;10;Emilia;640;12;15;(19);;;;;;
23;(18);Sara;522;10;Emma ;1019;19;1;(1);;;;;;
24;(23);Tindra;511;10;Emmy;209;4;63;(59);;;;;;
25;(25);Ellen;506;10;Engla;209;4;63;(70);;;;;;
26;(16);Matilda;502;10;Ester;231;4;59;(64);;;;;;
27;(20);Filippa;474;9;Evelina;213;4;61;(62);;;;;;
28;(27);Tilda;470;9;Fanny;184;4;71;(61);;;;;;
29;(27);Olivia;444;8;Felicia;533;10;21;(22);;;;;;
30;(32);Lovisa;434;8;Filippa;474;9;27;(20);;;;;;
31;(31);Alma;415;8;Freja;261;5;52;(82);;;;;;
31;(35);Thea;415;8;Frida;320;6;45;(34);;;;;;
33;(37);Tuva;400;8;Hanna;719;14;13;(9);;;;;;
34;(36);Sofia;391;7;Hilda;189;4;68;(76);;;;;;
35;(45);Tyra;377;7;Ida;850;16;8;(5);;;;;;
36;(44);Nova;375;7;Inez;142;3;80;(Ny);;;;;;
37;(37);Alicia;370;7;Ingrid;112;2;99;(Ny);;;;;;
38;(33);Tilde;355;7;Isabella;326;6;42;(47);;;;;;
39;(56);Stella;350;7;Isabelle;535;10;20;(21);;;;;;
40;(42);Nora;344;7;Jasmine;146;3;79;(63);;;;;;
41;(30);Emelie;331;6;Jennifer;162;3;74;(69);;;;;;
42;(47);Isabella;326;6;Johanna;225;4;60;(53);;;;;;
42;(52);Molly;326;6;Jonna;112;2;99;(96);;;;;;
44;(43);Linn;322;6;Josefin;237;5;56;(41);;;;;;
45;(34);Frida;320;6;Julia;921;18;4;(3);;;;;;
46;(40);Lisa;299;6;Kajsa;179;3;73;(58);;;;;;
47;(46);Anna;293;6;Klara;749;14;12;(13);;;;;;
48;(50);Lova;288;5;Lea;203;4;66;(68);;;;;;
