Flicknamn 2007;;;;;;;;Innehåll;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2007.   ;;;;;;;;;
Namnen redovisas under den vanligaste stavningen,;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;
;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;
2007;2006;Namn;Antal;Per;Namn;Antal;Per;2007;2006
;;;bärare;1000;;bärare;1000;;
1;(7);Wilma;922;18;Agnes;620;12;16;(3)
2;(1);Maja;907;17;Alexandra;151;3;77;(72)
3;(11);Ella ;860;16;Alice;806;15;6;(9)
4;(1);Emma;835;16;Alicia;358;7;37;(37)
5;(4);Julia;816;16;Alma;452;9;27;(31)
6;(9);Alice;806;15;Alva;781;15;7;(5)
7;(5);Alva;781;15;Amanda;598;11;17;(18)
8;(6);Linnea;778;15;Angelina;112;2;96;(76)
9;(8);Ida;763;15;Anna;246;5;56;(47)
10;(14);Ebba;758;14;Annie;130;2;87;(95)
11;(10);Elin;747;14;Astrid;262;5;52;(55)
12;(16);Elsa;730;14;Cornelia;219;4;61;(50)
13;(21);Nellie;675;13;Ebba;758;14;10;(14)
13;(12);Klara;675;13;Edith;152;3;76;(Ny)
15;(21);Felicia;669;13;Elin;747;14;11;(10)
16;(3);Agnes;620;12;Elina;182;3;69;(67)
17;(18);Amanda;598;11;Ella ;860;16;3;(11)
18;(15);Emilia;594;11;Ellen;523;10;21;(25)
19;(17);Moa;569;11;Elsa;730;14;12;(16)
20;(13);Hanna;564;11;Elvira;350;7;38;(51)
21;(25);Ellen;523;10;Emelie;292;6;48;(41)
22;(20);Isabelle;514;10;Emilia;594;11;18;(15)
23;(19);Saga;500;10;Emma;835;16;4;(1)
24;(29);Olivia;487;9;Emmy ;216;4;62;(63)
25;(26);Matilda;479;9;Engla;255;5;53;(63)
26;(23);Sara;470;9;Ester;278;5;50;(59)
27;(31);Alma;452;9;Evelina;180;3;71;(61)
28;(36);Nova;448;9;Fanny;172;3;72;(71)
29;(27);Filippa;445;8;Felicia;669;13;15;(21)
30;(42);Molly;431;8;Filippa;445;8;29;(27)
31;(33);Tuva;424;8;Freja;327;6;45;(52)
32;(24);Tindra;405;8;Frida;293;6;47;(45)
33;(39);Stella;378;7;Hanna;564;11;20;(13)
34;(30);Lovisa;377;7;Hilda;186;4;68;(68)
35;(42);Isabella;376;7;Ida;763;15;9;(8)
36;(40);Nora;369;7;Inez;146;3;78;(80)
37;(37);Alicia;358;7;Ingrid;143;3;81;(99)
