Flicknamn 2010;;;;;;;;Innehåll;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2010.   ;;;;;;;;;
Namnen redovisas med den vanligaste stavningen,;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;
;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;
;;;Antal bärare;;;Antal bärare;;Rangordning;
2010;2009;;2010;2009;;2010;2009;2010;2009
1;(2);Maja;895;(870);Agnes;588;(576);15;(14)
2;(1);Alice ;867;(977);Alice ;867;(977);2;(1)
3;(7);Julia;823;(741);Alicia;456;(458);28;(29)
4;(8);Linnéa;750;(685);Alma ;506;(484);23;(24)
5;(9);Wilma ;742;(668);Alva ;711;(771);9;(6)
6;(3);Ella ;737;(810);Amanda ;475;(539);25;(20)
7;(5);Elsa ;724;(772);Anna;172;(172);81;(76)
8;(4);Emma;722;(798);Annie ;133;(114);97;(Ny)
9;(6);Alva ;711;(771);Astrid ;441;(396);29;(33)
10;(17);Olivia ;703;(569);Cornelia ;198;(240);70;(58)
11;(11);Molly ;677;(625);Ebba ;661;(655);12;(10)
12;(10);Ebba ;661;(655);Edith;248;(211);60;(60)
13;(13);Klara ;638;(593);Elin;570;(572);18;(16)
14;(12);Nellie ;592;(616);Elina ;160;(164);87;(78)
15;(14);Agnes;588;(576);Elise;161;(163);86;(79)
16;(19);Isabelle ;583;(550);Ella ;737;(810);6;(3)
17;(15);Ida ;577;(574);Ellen;545;(493);19;(23)
18;(16);Elin;570;(572);Ellie;328;(192);48;(69)
19;(23);Ellen;545;(493);Elsa ;724;(772);7;(5)
20;(22);Moa;542;(509);Elvira ;412;(365);34;(38)
21;(18);Emilia ;522;(556);Emelie;253;(321);58;(50)
22;(27);Nova;515;(466);Emilia ;522;(556);21;(18)
23;(24);Alma ;506;(484);Emma;722;(798);8;(4)
24;(21);Saga ;490;(512);Emmy ;212;(201);66;(66)
25;(20);Amanda ;475;(539);Ester;339;(332);46;(45)
26;(34);Isabella;467;(386);Evelina;199;(185);69;(73)
27;(39);Lilly;460;(358);Felicia ;412;(445);34;(30)
28;(29);Alicia;456;(458);Filippa ;269;(316);56;(51)
29;(33);Astrid ;441;(396);Freja ;378;(312);41;(52)
30;(25);Matilda ;433;(479);Frida ;167;(200);82;(67)
31;(48);Tilde ;431;(325);Greta ;159;(132);88;(94)
31;(32);Tuva ;431;(398);Hanna ;408;(473);37;(26)
33;(31);Stella ;416;(403);Hedda;150;(131);91;(95)
34;(38);Elvira ;412;(365);Hedvig ;129;(112);99;(Ny)
34;(30);Felicia ;412;(445);Hilda ;176;(160);78;(82)
36;(49);Tyra ;409;(322);Ida ;577;(574);17;(15)
37;(26);Hanna ;408;(473);Inez ;252;(229);59;(59)
38;(28);Sara;404;(459);Ingrid;182;(151);73;(84)
39;(46);Vera ;399;(331);Iris ;164;(158);84;(83)
40;(37);Thea;380;(368);Isabella;467;(386);26;(34)
41;(52);Freja ;378;(312);Isabelle ;583;(550);16;(19)
42;(42);Lova ;372;(345);Jasmine;201;(207);68;(63)
43;(34);Meja;359;(386);Joline;179;(171);75;(77)
43;(36);Selma ;359;(384);Josefine;162;(189);85;(70)
45;(53);Signe ;352;(303);Julia;823;(741);3;(7)
46;(45);Ester;339;(332);Juni ;130;(90);98;(Ny)
47;(40);Lovisa;336;(356);Kajsa ;137;(175);94;(75)
48;(69);Ellie;328;(192);Klara ;638;(593);13;(13)
49;(56);Lea;308;(269);Lea;308;(269);49;(56)
49;(54);Tilda ;308;(298);Leia;276;(205);55;(65)
51;(41);Tindra ;307;(355);Lilly;460;(358);27;(39)
52;(44);Sofia ;297;(333);Lina;150;(161);91;(81)
53;(43);Nora ;290;(337);Linn ;219;(211);64;(60)
54;(46);Nathalie ;282;(331);Linnéa;750;(685);4;(8)
55;(65);Leia;276;(205);Lisa ;220;(199);63;(68)
56;(51);Filippa ;269;(316);Liv ;240;(207);61;(63)
57;(55);Siri ;262;(281);Livia ;210;(146);67;(86)
58;(50);Emelie;253;(321);Lova ;372;(345);42;(42)
59;(59);Inez ;252;(229);Lovisa;336;(356);47;(40)
60;(60);Edith;248;(211);Maja;895;(870);1;(2)
61;(63);Liv ;240;(207);Majken ;136;(101);95;(Ny)
61;(57);Stina ;240;(255);Maria;166;(124);83;(96)
63;(68);Lisa ;220;(199);Matilda ;433;(479);30;(25)
64;(60);Linn ;219;(211);Meja;359;(386);43;(34)
65;(Ny);Tove;218;(78);Melissa ;174;(149);80;(85)
66;(66);Emmy ;212;(201);Minna ;154;(75);90;(Ny)
67;(86);Livia ;210;(146);Mira ;178;(210);77;(62)
68;(63);Jasmine;201;(207);Moa;542;(509);20;(22)
69;(73);Evelina;199;(185);Molly ;677;(625);11;(11)
70;(58);Cornelia ;198;(240);My ;180;(143);74;(88)
71;(79);Märta ;189;(163);Märta ;189;(163);71;(79)
72;(71);Svea ;183;(187);Nathalie ;282;(331);54;(46)
73;(84);Ingrid;182;(151);Nellie ;592;(616);14;(12)
74;(88);My ;180;(143);Nicole;142;(139);93;(91)
75;(77);Joline;179;(171);Nora ;290;(337);53;(43)
75;(72);Rebecca;179;(186);Nova;515;(466);22;(27)
77;(62);Mira ;178;(210);Novalie;129;(74);99;(Ny)
78;(82);Hilda ;176;(160);Olivia ;703;(569);10;(17)
78;(74);Ronja ;176;(176);Rebecca;179;(186);75;(72)
80;(85);Melissa ;174;(149);Ronja ;176;(176);78;(74)
81;(76);Anna;172;(172);Saga ;490;(512);24;(21)
82;(67);Frida ;167;(200);Sara;404;(459);38;(28)
83;(96);Maria;166;(124);Selma ;359;(384);43;(36)
84;(83);Iris ;164;(158);Signe ;352;(303);45;(53)
85;(70);Josefine;162;(189);Siri ;262;(281);57;(55)
86;(79);Elise;161;(163);Sofia ;297;(333);52;(44)
87;(78);Elina ;160;(164);Sofie;135;(143);96;(88)
88;(94);Greta ;159;(132);Stella ;416;(403);33;(31)
89;(87);Vilda;158;(145);Stina ;240;(255);61;(57)
90;(Ny);Minna ;154;(75);Svea ;183;(187);72;(71)
91;(95);Hedda;150;(131);Thea;380;(368);40;(37)
