Flicknamn 2013;;;;;;;;Innehåll;;;;;;;;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2013.   ;;;;;;;;;;;;;;;;
Namnen redovisas med den vanligaste stavningen,;;;;;;;;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;;;;;;;;
;;;Antal bärare;;;Antal bärare;;Rangordning;;;;;;;;
2013;2012;;2013;2012;;2013;2012;2013;2012;;;;;;;
1;(1);Alice ;903;(938);Agnes;584;(577);11;(12);;;;;;;
2;(5);Maja ;767;(670);Alice ;903;(938);1;(1);;;;;;;
3;(2);Elsa ;766;(756);Alicia;625;(531);7;(17);;;;;;;
4;(4);Ella ;700;(681);Alma ;447;(412);26;(29);;;;;;;
5;(3);Julia;687;(683);Alva ;607;(595);9;(10);;;;;;;
6;(6);Ebba ;663;(653);Amanda ;353;(375);37;(36);;;;;;;
7;(17);Alicia;625;(531);Anna;130;(141);94;(89);;;;;;;
8;(16);Olivia;616;(550);Astrid ;439;(459);27;(24);;;;;;;
9;(10);Alva ;607;(595);Cornelia ;230;(188);60;(76);;;;;;;
10;(11);Wilma;600;(578);Ebba ;663;(653);6;(6);;;;;;;
11;(12);Agnes;584;(577);Edith;277;(283);54;(50);;;;;;;
12;(19);Lilly ;575;(516);Elin ;371;(387);33;(32);;;;;;;
13;(13);Klara ;573;(575);Elina ;162;(151);81;(84);;;;;;;
14;(7);Emma;569;(631);Elise;254;(231);57;(59);;;;;;;
15;(9);Molly ;554;(606);Ella ;700;(681);4;(4);;;;;;;
16;(15);Isabelle ;553;(570);Ellen;501;(517);21;(18);;;;;;;
17;(8);Linnea;552;(623);Ellie;375;(381);32;(35);;;;;;;
18;(21);Freja;546;(504);Ellinor;134;(104);92;(Ny);;;;;;;
19;(22);Saga ;505;(489);Elsa ;766;(756);3;(2);;;;;;;
20;(13);Nellie;502;(575);Elvira;341;(346);39;(42);;;;;;;
21;(18);Ellen;501;(517);Emelie ;204;(241);68;(56);;;;;;;
22;(20);Stella ;499;(512);Emilia ;486;(481);23;(23);;;;;;;
23;(23);Emilia ;486;(481);Emma;569;(631);14;(7);;;;;;;
24;(26);Nova ;456;(428);Emmy ;161;(173);82;(81);;;;;;;
25;(30);Vera ;448;(404);Ester;399;(384);29;(33);;;;;;;
26;(29);Alma ;447;(412);Felicia ;349;(351);38;(40);;;;;;;
27;(24);Astrid ;439;(459);Filippa;208;(233);67;(57);;;;;;;
28;(31);Signe ;414;(393);Freja;546;(504);18;(21);;;;;;;
29;(33);Ester;399;(384);Greta ;177;(150);76;(85);;;;;;;
30;(34);Selma ;395;(383);Hanna ;282;(318);51;(46);;;;;;;
31;(27);Moa ;382;(427);Hedda;160;(134);84;(94);;;;;;;
32;(35);Ellie;375;(381);Hilda ;174;(160);77;(82);;;;;;;
33;(32);Elin ;371;(387);Hilma ;146;(111);89;(Ny);;;;;;;
34;(25);Ida ;368;(452);Ida ;368;(452);34;(25);;;;;;;
35;(28);Isabella ;358;(422);Ines ;309;(263);43;(54);;;;;;;
35;(43);Leah;358;(342);Ingrid;225;(205);62;(67);;;;;;;
37;(36);Amanda ;353;(375);Iris ;229;(188);61;(76);;;;;;;
38;(40);Felicia ;349;(351);Isabella ;358;(422);35;(28);;;;;;;
39;(42);Elvira;341;(346);Isabelle ;553;(570);16;(15);;;;;;;
40;(37);Sara;332;(370);Jasmine;170;(192);79;(73);;;;;;;
41;(38);Tyra ;322;(361);Joline;161;(176);82;(79);;;;;;;
42;(43);Sofia ;314;(342);Josefine;139;(148);91;(86);;;;;;;
43;(54);Ines ;309;(263);Julia;687;(683);5;(3);;;;;;;
44;(52);Meja;301;(281);Juni ;253;(227);59;(60);;;;;;;
45;(41);Matilda ;299;(348);Klara ;573;(575);13;(13);;;;;;;
46;(48);Lova ;295;(299);Leah;358;(342);35;(43);;;;;;;
46;(47);Lovisa;295;(309);Leia;218;(217);63;(62);;;;;;;
48;(39);Tuva ;293;(360);Lilly ;575;(516);12;(19);;;;;;;
49;(45);Siri ;292;(335);Linn;147;(175);88;(80);;;;;;;
50;(55);Liv ;290;(243);Linnea;552;(623);17;(8);;;;;;;
51;(46);Hanna ;282;(318);Lisa ;156;(193);86;(72);;;;;;;
51;(49);Nora;282;(290);Liv ;290;(243);50;(55);;;;;;;
53;(50);Tilde ;279;(283);Livia ;195;(189);71;(74);;;;;;;
54;(50);Edith;277;(283);Lova ;295;(299);46;(48);;;;;;;
55;(53);Thea ;275;(270);Lovisa;295;(309);46;(47);;;;;;;
56;(65);Sigrid ;256;(209);Lykke;173;(148);78;(86);;;;;;;
57;(59);Elise;254;(231);Maja ;767;(670);2;(5);;;;;;;
57;(62);Melissa ;254;(217);Majken ;193;(181);73;(78);;;;;;;
59;(60);Juni ;253;(227);Maria;127;(128);95;(97);;;;;;;
60;(76);Cornelia ;230;(188);Matilda ;299;(348);45;(41);;;;;;;
61;(76);Iris ;229;(188);Meja;301;(281);44;(52);;;;;;;
62;(67);Ingrid;225;(205);Melina ;125;(110);98;(Ny);;;;;;;
63;(62);Leia;218;(217);Melissa ;254;(217);57;(62);;;;;;;
63;(66);Svea ;218;(206);Minna ;202;(189);69;(74);;;;;;;
65;(64);Stina ;217;(215);Mira ;170;(160);79;(82);;;;;;;
66;(57);Nathalie ;216;(233);Moa ;382;(427);31;(27);;;;;;;
67;(57);Filippa;208;(233);Molly ;554;(606);15;(9);;;;;;;
68;(56);Emelie ;204;(241);My ;150;(205);87;(67);;;;;;;
69;(74);Minna ;202;(189);Märta ;193;(199);73;(70);;;;;;;
70;(69);Ronja ;201;(201);Nathalie ;216;(233);66;(57);;;;;;;
71;(74);Livia ;195;(189);Nellie;502;(575);20;(13);;;;;;;
72;(61);Tilda ;194;(218);Nicole ;122;(121);99;(Ny);;;;;;;
73;(78);Majken ;193;(181);Nora;282;(290);51;(49);;;;;;;
73;(70);Märta ;193;(199);Nova ;456;(428);24;(26);;;;;;;
75;(71);Tindra ;179;(196);Novalie;157;(126);85;(100);;;;;;;
76;(85);Greta ;177;(150);Olivia;616;(550);8;(16);;;;;;;
77;(82);Hilda ;174;(160);Ronja ;201;(201);70;(69);;;;;;;
78;(86);Lykke;173;(148);Rut;133;(127);93;(99);;;;;;;
79;(73);Jasmine;170;(192);Saga ;505;(489);19;(22);;;;;;;
79;(82);Mira ;170;(160);Sally;126;(99);97;(Ny);;;;;;;
81;(84);Elina ;162;(151);Sara;332;(370);40;(37);;;;;;;
82;(81);Emmy ;161;(173);Selma ;395;(383);30;(34);;;;;;;
82;(79);Joline;161;(176);Signe ;414;(393);28;(31);;;;;;;
84;(94);Hedda;160;(134);Sigrid ;256;(209);56;(65);;;;;;;
85;(100);Novalie;157;(126);Siri ;292;(335);49;(45);;;;;;;
86;(72);Lisa ;156;(193);Sofia ;314;(342);42;(43);;;;;;;
87;(67);My ;150;(205);Stella ;499;(512);22;(20);;;;;;;
88;(80);Linn;147;(175);Stina ;217;(215);65;(64);;;;;;;
89;(Ny);Hilma ;146;(111);Svea ;218;(206);63;(66);;;;;;;
89;(88);Vilda;146;(146);Thea ;275;(270);55;(53);;;;;;;
91;(86);Josefine;139;(148);Tilda ;194;(218);72;(61);;;;;;;
92;(Ny);Ellinor;134;(104);Tilde ;279;(283);53;(50);;;;;;;
93;(99);Rut;133;(127);Tindra ;179;(196);75;(71);;;;;;;
94;(89);Anna;130;(141);Tove;119;(139);100;(91);;;;;;;
95;(97);Maria;127;(128);Tuva ;293;(360);48;(39);;;;;;;
95;(96);Victoria;127;(130);Tyra ;322;(361);41;(38);;;;;;;
97;(Ny);Sally;126;(99);Vera ;448;(404);25;(30);;;;;;;
98;(Ny);Melina ;125;(110);Victoria;127;(130);95;(96);;;;;;;
99;(Ny);Nicole ;122;(121);Vilda;146;(146);89;(88);;;;;;;
100;(91);Tove;119;(139);Wilma;600;(578);10;(11);;;;;;;
