Flicknamn 2015;;;;;;;;Innehåll;;;;;;;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2015.   ;;;;;;;;;;;;;;;
Namnen redovisas med den vanligaste stavningen,;;;;;;;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Rangordning;;;;;;Bokstavsordning;;;;;;;;;
;;;Antal bärare;;;;Antal bärare;;Rangordning;;;;;;
2015;2014;;2015;2014;;;2015;2014;2015;2014;;;;;
1;(1);Elsa;872;(850);;Agnes;552;(673);11;(4);;;;;
2;(2);Alice;847;(806);;Alice;847;(806);2;(2);;;;;
3;(3);Maja;674;(732);;Alicia ;479;(540);21;(16);;;;;
4;(21);Saga;671;(504);;Alma;498;(533);17;(18);;;;;
5;(11);Ella ;627;(578);;Alva ;544;(534);14;(17);;;;;
6;(5);Lilly;613;(646);;Amanda ;275;(323);49;(40);;;;;
7;(6);Olivia;583;(626);;Amelia ;149;(136);88;(95);;;;;
8;(8);Ebba ;576;(603);;Anna;130;(129);100;(100);;;;;
9;(12);Wilma;575;(576);;Astrid ;491;(454);18;(23);;;;;
10;(7);Julia;574;(610);;Bianca ;136;(120);93;(Ny);;;;;
11;(4);Agnes;552;(673);;Celine;206;(169);61;(78);;;;;
12;(15);Freja;546;(544);;Cornelia ;171;(221);77;(62);;;;;
12;(10);Molly ;546;(579);;Ebba ;576;(603);8;(8);;;;;
14;(17);Alva ;544;(534);;Edith;331;(278);36;(51);;;;;
15;(13);Klara ;542;(572);;Elin;328;(321);37;(41);;;;;
16;(9);Linnea;510;(594);;Elina ;136;(142);93;(91);;;;;
17;(18);Alma;498;(533);;Elise;347;(334);32;(37);;;;;
18;(23);Astrid ;491;(454);;Ella ;627;(578);5;(11);;;;;
18;(20);Ellen ;491;(519);;Ellen ;491;(519);18;(20);;;;;
20;(19);Isabelle ;485;(525);;Ellie;453;(467);23;(22);;;;;
21;(16);Alicia ;479;(540);;Ellinor;180;(167);75;(79);;;;;
22;(14);Stella ;477;(552);;Elsa;872;(850);1;(1);;;;;
23;(22);Ellie;453;(467);;Elvira;312;(401);39;(29);;;;;
24;(27);Vera ;447;(431);;Emelie ;190;(228);67;(60);;;;;
25;(28);Signe ;421;(427);;Emilia ;369;(434);31;(26);;;;;
26;(32);Ester;418;(383);;Emma;392;(454);30;(23);;;;;
26;(31);Selma ;418;(389);;Emmy ;166;(178);79;(72);;;;;
28;(25);Nellie;414;(453);;Ester;418;(383);26;(32);;;;;
29;(33);Leah;400;(357);;Felicia;279;(355);47;(34);;;;;
30;(23);Emma;392;(454);;Filippa ;146;(181);89;(71);;;;;
31;(26);Emilia ;369;(434);;Freja;546;(544);12;(15);;;;;
32;(37);Elise;347;(334);;Greta;194;(184);64;(68);;;;;
33;(35);Sofia;342;(349);;Hanna ;225;(251);60;(56);;;;;
34;(30);Nova ;341;(399);;Hedvig ;145;(112);90;(Ny);;;;;
35;(38);Ines;335;(332);;Hilda ;132;(173);97;(76);;;;;
36;(51);Edith;331;(278);;Hilma ;131;(154);98;(88);;;;;
37;(41);Elin;328;(321);;Ida;286;(321);43;(41);;;;;
38;(35);Sara;323;(349);;Ines;335;(332);35;(38);;;;;
39;(29);Elvira;312;(401);;Ingrid;183;(220);74;(64);;;;;
40;(39);Tyra ;306;(330);;Iris ;280;(238);46;(58);;;;;
41;(46);Tuva ;295;(300);;Isabella;282;(304);45;(45);;;;;
42;(47);Nora;288;(294);;Isabelle ;485;(525);20;(19);;;;;
43;(41);Ida;286;(321);;Jasmine;192;(190);66;(66);;;;;
44;(53);Juni ;285;(265);;Joline;163;(182);82;(70);;;;;
45;(45);Isabella;282;(304);;Julia;574;(610);10;(7);;;;;
46;(58);Iris ;280;(238);;Julie;136;(106);93;(Ny);;;;;
47;(34);Felicia;279;(355);;Juni ;285;(265);44;(53);;;;;
48;(50);Sigrid ;277;(281);;Klara ;542;(572);15;(13);;;;;
49;(40);Amanda ;275;(323);;Leah;400;(357);29;(33);;;;;
