Flicknamn 2017;;;;;;;;;;;;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2017.   ;;;;;;;;;;;;
Namnen redovisas med den vanligaste stavningen,;;;;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;;;;
;;;;;;;;;;;;
Rangordning;;;;;;Bokstavsordning;;;;;;
;;;Antal bärare;;;;Antal bärare;;Rangordning;;;
2017;2016;;2017;2016;;;2017;2016;2017;2016;;
1;(1);Alice;888;(910);;Agnes;544;(570);12;(12);;
2;(6);Alicia;675;(627);;Alice;888;(910);1;(1);;
3;(7);Olivia;634;(601);;Alicia;675;(627);2;(6);;
4;(5);Ella ;607;(635);;Alma ;532;(547);14;(14);;
5;(9);Ebba;594;(596);;Alva ;512;(508);20;(18);;
6;(2);Lilly ;577;(690);;Amanda ;173;(215);79;(66);;
7;(15);Astrid ;572;(543);;Amelia;206;(164);63;(80);;
8;(11);Saga ;569;(575);;Astrid ;572;(543);7;(15);;
9;(13);Freja ;568;(566);;Bianca ;180;(142);75;(96);;
10;(10);Wilma ;556;(587);;Celine;267;(268);44;(46);;
11;(3);Maja;547;(664);;Clara ;523;(494);15;(21);;
12;(12);Agnes;544;(570);;Cleo;156;(160);85;(83);;
13;(4);Elsa ;534;(643);;Cornelia ;197;(165);65;(79);;
14;(14);Alma ;532;(547);;Ebba;594;(596);5;(9);;
15;(21);Clara ;523;(494);;Edith;275;(268);42;(46);;
16;(16);Ellie;521;(520);;Elin;262;(300);46;(40);;
16;(34);Selma ;521;(378);;Elise;275;(337);42;(36);;
18;(8);Julia;518;(597);;Ella ;607;(635);4;(5);;
19;(20);Stella;516;(495);;Ellen;460;(508);23;(18);;
20;(18);Alva ;512;(508);;Ellie;521;(520);16;(16);;
21;(24);Signe ;507;(451);;Ellinor;144;(151);93;(90);;
22;(25);Vera ;475;(436);;Elsa ;534;(643);13;(4);;
23;(18);Ellen;460;(508);;Elvira ;324;(311);35;(39);;
24;(27);Leah;432;(421);;Emelie;150;(162);89;(81);;
25;(17);Molly ;423;(516);;Emilia ;346;(416);33;(28);;
26;(32);Ines;418;(381);;Emma;331;(469);34;(23);;
27;(29);Ester;407;(402);;Ester;407;(402);27;(29);;
28;(22);Linnea;405;(476);;Felicia ;220;(263);57;(48);;
29;(25);Isabelle ;398;(436);;Filippa ;164;(155);82;(85);;
30;(30);Sara;384;(397);;Freja ;568;(566);9;(13);;
31;(31);Nova ;373;(394);;Greta;136;(147);95;(93);;
32;(33);Nellie ;355;(380);;Hanna ;222;(233);56;(60);;
33;(28);Emilia ;346;(416);;Hedda;153;(137);87;(100);;
34;(23);Emma;331;(469);;Hedvig ;150;(115);89;(Ny);;
35;(39);Elvira ;324;(311);;Hilda ;155;(161);86;(82);;
36;(35);Sigrid ;315;(338);;Hilma ;152;(155);88;(85);;
37;(43);Iris ;310;(291);;Ida ;210;(249);61;(54);;
38;(51);Nora;298;(252);;Idun;129;(118);98;(Ny);;
39;(65);Lova ;291;(220);;Ines;418;(381);26;(32);;
40;(38);Juni ;287;(318);;Ingrid;216;(213);59;(68);;
41;(37);Sofia ;286;(333);;Iris ;310;(291);37;(43);;
42;(46);Edith;275;(268);;Isabella ;252;(300);50;(40);;
42;(36);Elise;275;(337);;Isabelle ;398;(436);29;(25);;
44;(46);Celine;267;(268);;Jasmine;181;(194);73;(72);;
45;(44);Liv;263;(288);;Joline;185;(175);71;(75);;
46;(40);Elin;262;(300);;Julia;518;(597);18;(8);;
47;(69);Luna;257;(209);;Julie;150;(151);89;(90);;
48;(51);Livia;255;(252);;Juni ;287;(318);40;(38);;
49;(57);Leia;253;(237);;Leah;432;(421);24;(27);;
50;(40);Isabella ;252;(300);;Leia;253;(237);49;(57);;
51;(45);Tyra ;246;(282);;Lilly ;577;(690);6;(2);;
52;(57);Maria;241;(237);;Linnea;405;(476);28;(22);;
53;(49);Meja;225;(255);;Liv;263;(288);45;(44);;
54;(62);Lykke;224;(222);;Livia;255;(252);48;(51);;
55;(51);Tuva ;223;(252);;Lo;180;(151);75;(90);;
56;(60);Hanna ;222;(233);;Lova ;291;(220);39;(65);;
57;(48);Felicia ;220;(263);;Lovis;131;(154);96;(88);;
57;(55);Thea ;220;(240);;Lovisa;197;(300);65;(40);;
59;(68);Ingrid;216;(213);;Luna;257;(209);47;(69);;
60;(61);Majken ;213;(225);;Lykke;224;(222);54;(62);;
61;(54);Ida ;210;(249);;Maja;547;(664);11;(3);;
62;(70);Sally;207;(198);;Majken ;213;(225);60;(61);;
63;(80);Amelia;206;(164);;Maria;241;(237);52;(57);;
64;(50);Moa;198;(254);;Maryam;177;(104);78;(Ny);;
65;(79);Cornelia ;197;(165);;Matilda ;187;(234);70;(59);;
65;(40);Lovisa;197;(300);;Meja;225;(255);53;(49);;
67;(64);Stina ;196;(221);;Melina ;128;(117);99;(Ny);;
68;(74);Rut;194;(182);;Melissa ;190;(214);69;(67);;
69;(67);Melissa ;190;(214);;Mila;172;(142);80;(96);;
70;(59);Matilda ;187;(234);;Mira ;147;(136);92;(Ny);;
71;(75);Joline;185;(175);;Moa;198;(254);64;(50);;
72;(56);Siri ;182;(239);;Molly ;423;(516);25;(17);;
73;(72);Jasmine;181;(194);;My ;140;(197);94;(71);;
73;(73);Ronja ;181;(183);;Märta ;163;(172);84;(77);;
75;(96);Bianca ;180;(142);;Nellie ;355;(380);32;(33);;
75;(90);Lo;180;(151);;Noomi;128;(118);99;(Ny);;
77;(76);Svea ;178;(173);;Nora;298;(252);38;(51);;
78;(Ny);Maryam;177;(104);;Nova ;373;(394);31;(31);;
79;(66);Amanda ;173;(215);;Olivia;634;(601);3;(7);;
80;(96);Mila;172;(142);;Penny;164;(155);82;(85);;
81;(62);Tilde ;169;(222);;Ronja ;181;(183);73;(73);;
82;(85);Filippa ;164;(155);;Rut;194;(182);68;(74);;
82;(85);Penny;164;(155);;Saga ;569;(575);8;(11);;
84;(77);Märta ;163;(172);;Sally;207;(198);62;(70);;
85;(83);Cleo;156;(160);;Sara;384;(397);30;(30);;
86;(82);Hilda ;155;(161);;Selma ;521;(378);16;(34);;
87;(100);Hedda;153;(137);;Signe ;507;(451);21;(24);;
88;(85);Hilma ;152;(155);;Sigrid ;315;(338);36;(35);;
89;(81);Emelie;150;(162);;Siri ;182;(239);72;(56);;
89;(Ny);Hedvig ;150;(115);;Sofia ;286;(333);41;(37);;
89;(90);Julie;150;(151);;Stella;516;(495);19;(20);;
92;(Ny);Mira ;147;(136);;Stina ;196;(221);67;(64);;
93;(90);Ellinor;144;(151);;Svea ;178;(173);77;(76);;
94;(71);My ;140;(197);;Thea ;220;(240);57;(55);;
95;(93);Greta;136;(147);;Tilde ;169;(222);81;(62);;
96;(88);Lovis;131;(154);;Tuva ;223;(252);55;(51);;
96;(Ny);Zoey;131;(106);;Tyra ;246;(282);51;(45);;
98;(Ny);Idun;129;(118);;Vera ;475;(436);22;(25);;
99;(Ny);Melina ;128;(117);;Wilma ;556;(587);10;(10);;
99;(Ny);Noomi;128;(118);;Zoey;131;(106);96;(Ny);;
