Flicknamn 2018;;;;;;;;Innehåll;;;;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2018.   ;;;;;;;;;;;;
Namnen redovisas med den vanligaste stavningen,;;;;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;;;;
;;;;;;;;;;;;
Rangordning;;;;;;Bokstavsordning;;;;;;
;;;Antal bärare;;;;Antal bärare;;Rangordning;;;
2018;2017;;2018;2017;;;2018;2017;2018;2017;;
1;(1);Alice;765;(888);;Agnes;529;(544);17;(12);;
2;(11);Maja;657;(547);;Alice;765;(888);1;(1);;
3;(6);Lilly;634;(577);;Alicia ;543;(675);13;(2);;
4;(4);Ella ;604;(607);;Alma ;564;(532);9;(14);;
5;(10);Wilma ;600;(556);;Alva ;468;(512);21;(20);;
6;(5);Ebba ;597;(594);;Amanda ;157;(173);84;(79);;
7;(3);Olivia;581;(634);;Amelia ;213;(206);62;(63);;
8;(7);Astrid;565;(572);;Astrid;565;(572);8;(7);;
9;(14);Alma ;564;(532);;Belle;156;(97);85;(Ny);;
10;(13);Elsa;559;(534);;Bianca ;225;(180);56;(75);;
11;(8);Saga ;547;(569);;Celine;264;(267);47;(44);;
12;(9);Freja;545;(568);;Clara;467;(523);22;(15);;
13;(2);Alicia ;543;(675);;Cleo;168;(156);80;(85);;
13;(19);Stella ;543;(516);;Cornelia ;140;(197);95;(65);;
15;(21);Signe ;538;(507);;Ebba ;597;(594);6;(5);;
16;(16);Selma;534;(521);;Edith;285;(275);42;(42);;
17;(12);Agnes;529;(544);;Elin;268;(262);46;(46);;
18;(16);Ellie;522;(521);;Elina ;148;(124);91;(Ny);;
19;(22);Vera ;517;(475);;Elise;286;(275);41;(42);;
20;(26);Ines;471;(418);;Ella ;604;(607);4;(4);;
21;(20);Alva ;468;(512);;Ellen ;454;(460);24;(23);;
22;(15);Clara;467;(523);;Ellie;522;(521);18;(16);;
23;(18);Julia;459;(518);;Elsa;559;(534);10;(13);;
24;(23);Ellen ;454;(460);;Elsie;136;(107);96;(Ny);;
25;(25);Molly ;437;(423);;Elvira ;312;(324);36;(35);;
26;(27);Ester;415;(407);;Emilia;312;(346);36;(33);;
27;(28);Linnéa;392;(405);;Emma;288;(331);40;(34);;
28;(31);Nova ;385;(373);;Ester;415;(407);26;(27);;
29;(24);Leah;365;(432);;Felicia;220;(220);59;(57);;
30;(29);Isabelle ;364;(398);;Filippa ;141;(164);94;(82);;
31;(38);Nora;356;(298);;Freja;545;(568);12;(9);;
32;(36);Sigrid;350;(315);;Greta;150;(136);88;(95);;
33;(30);Sara;347;(384);;Hailey;225;(120);56;(Ny);;
34;(37);Iris ;343;(310);;Hanna;210;(222);64;(56);;
35;(47);Luna;334;(257);;Hedda;209;(153);65;(87);;
36;(35);Elvira ;312;(324);;Hedvig ;149;(150);90;(89);;
36;(33);Emilia;312;(346);;Hilda ;130;(155);99;(86);;
38;(32);Nellie;309;(355);;Hilma ;162;(152);82;(88);;
39;(40);Juni ;299;(287);;Ida;239;(210);50;(61);;
40;(34);Emma;288;(331);;Ines;471;(418);20;(26);;
41;(42);Elise;286;(275);;Ingrid;242;(216);49;(59);;
42;(42);Edith;285;(275);;Iris ;343;(310);34;(37);;
42;(41);Sofia ;285;(286);;Isabella ;245;(252);48;(50);;
44;(39);Lova ;282;(291);;Isabelle ;364;(398);30;(29);;
45;(51);Tyra ;272;(246);;Jasmine;187;(181);72;(73);;
46;(46);Elin;268;(262);;Joline;195;(185);70;(71);;
47;(44);Celine;264;(267);;Julia;459;(518);23;(18);;
48;(50);Isabella ;245;(252);;Julie;173;(150);77;(90);;
49;(59);Ingrid;242;(216);;Juni ;299;(287);39;(40);;
50;(61);Ida;239;(210);;Leah;365;(432);29;(24);;
51;(45);Liv ;238;(263);;Leia;234;(253);54;(49);;
51;(80);Mila;238;(172);;Lilly;634;(577);3;(6);;
53;(54);Lykke;236;(224);;Linnéa;392;(405);27;(28);;
54;(49);Leia;234;(253);;Liv ;238;(263);51;(45);;
55;(48);Livia ;226;(255);;Livia ;226;(255);55;(48);;
56;(75);Bianca ;225;(180);;Lo;198;(180);68;(75);;
56;(Ny);Hailey;225;(120);;Lova ;282;(291);44;(39);;
58;(52);Maria;224;(241);;Lovis;131;(131);98;(96);;
59;(57);Felicia;220;(220);;Lovisa;191;(197);71;(65);;
59;(60);Majken ;220;(213);;Luna;334;(257);35;(47);;
61;(55);Tuva ;215;(223);;Lykke;236;(224);53;(54);;
62;(63);Amelia ;213;(206);;Maja;657;(547);2;(11);;
63;(53);Meja;211;(225);;Majken ;220;(213);59;(60);;
64;(56);Hanna;210;(222);;Maria;224;(241);58;(52);;
65;(87);Hedda;209;(153);;Maryam;145;(177);93;(78);;
65;(73);Ronja;209;(181);;Matilda;166;(187);81;(70);;
67;(57);Thea;207;(220);;Meja;211;(225);63;(53);;
68;(75);Lo;198;(180);;Melina;151;(128);87;(99);;
69;(62);Sally;197;(207);;Melissa ;179;(190);75;(69);;
70;(71);Joline;195;(185);;Mila;238;(172);51;(80);;
71;(65);Lovisa;191;(197);;Mira;148;(147);91;(92);;
72;(73);Jasmine;187;(181);;Moa;187;(198);72;(64);;
72;(64);Moa;187;(198);;Molly ;437;(423);25;(25);;
74;(68);Rut;184;(194);;My ;150;(140);88;(94);;
75;(69);Melissa ;179;(190);;Märta ;156;(163);85;(84);;
76;(67);Stina ;177;(196);;Nellie;309;(355);38;(32);;
77;(90);Julie;173;(150);;Nora;356;(298);31;(38);;
78;(77);Svea ;171;(178);;Nova ;385;(373);28;(31);;
79;(81);Tilde ;170;(169);;Olivia;581;(634);7;(3);;
80;(85);Cleo;168;(156);;Penny;130;(164);99;(82);;
81;(70);Matilda;166;(187);;Ronja;209;(181);65;(73);;
82;(88);Hilma ;162;(152);;Rut;184;(194);74;(68);;
83;(72);Siri;158;(182);;Saga ;547;(569);11;(8);;
84;(79);Amanda ;157;(173);;Sally;197;(207);69;(62);;
85;(Ny);Belle;156;(97);;Sara;347;(384);33;(30);;
85;(84);Märta ;156;(163);;Selma;534;(521);16;(16);;
87;(99);Melina;151;(128);;Signe ;538;(507);15;(21);;
88;(95);Greta;150;(136);;Sigrid;350;(315);32;(36);;
88;(94);My ;150;(140);;Siri;158;(182);83;(72);;
90;(89);Hedvig ;149;(150);;Sofia ;285;(286);42;(41);;
91;(Ny);Elina ;148;(124);;Stella ;543;(516);13;(19);;
91;(92);Mira;148;(147);;Stina ;177;(196);76;(67);;
93;(78);Maryam;145;(177);;Svea ;171;(178);78;(77);;
94;(82);Filippa ;141;(164);;Thea;207;(220);67;(57);;
95;(65);Cornelia ;140;(197);;Tilde ;170;(169);79;(81);;
96;(Ny);Elsie;136;(107);;Tuva ;215;(223);61;(55);;
97;(96);Zoe;133;(131);;Tyra ;272;(246);45;(51);;
98;(96);Lovis;131;(131);;Vera ;517;(475);19;(22);;
99;(86);Hilda ;130;(155);;Wilma ;600;(556);5;(10);;
99;(82);Penny;130;(164);;Zoe;133;(131);97;(96);;
