;;;;;;;;;;;;
Flicknamn 2020;;;;;;;;;;;;
Girls' names 2020;;;;;;;;;;;;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor under året.;;;;;;;;;;;;
Namnen redovisas med vanligaste stavningen, men samtliga stavningar ingår i redovisat antal.;;;;;;;;;;;;
The table shows the 100 most common first names given to girls during the year.;;;;;;;;;;;;
The most common form is given for each name, but the numbers include all alternative spellings.;;;;;;;;;;;;
;;;;;;;;;;;;
Rangordning;;;;;;Bokstavsordning;;;;;;
Rankings;;;;;;Alphabetical order;;;;;;
;;;Antal;;;;Antal;;Rangordning;;;
;;;Number;;;;Number;;Rankings;;;
2020;2019;;2020;2019;;;2020;2019;2020;2019;;
 1;'('1);Alice; 794;(688);;Agnes; 513;(556); 17;'('12);;
 2;'('4);Maja; 670;(618);;Alice; 794;(688); 1;'('1);;
 3;'('11);Elsa; 643;(560);;Alicia; 514;(491); 15;'('19);;
 4;'('3);Astrid; 607;(628);;Alma; 577;(562); 9;'('9);;
 4;'('8);Wilma; 607;(574);;Alva; 456;(496); 23;'('18);;
 6;'('13);Freja; 596;(537);;Amanda; 122;(122); 100;'('100);;
 7;'('2);Olivia; 587;(645);;Amelia; 184;(205); 68;'('63);;
 8;'('20);Selma; 578;(489);;Astrid; 607;(628); 4;'('3);;
 9;'('9);Alma; 577;(562);;Ayla; 125;(100); 99;'('Ny/New);;
 10;'('7);Ella; 575;(582);;Belle; 133;(120); 94;'('Ny/New);;
 11;'('10);Lilly; 571;(561);;Bianca; 130;(189); 97;'('69);;
 12;'('17);Signe; 554;(511);;Bonnie; 191;(135); 67;'('93);;
 13;'('5);Vera; 550;(607);;Celine; 287;(287); 39;'('44);;
 14;'('24);Ines; 528;(442);;Clara; 512;(519); 18;'('16);;
 15;'('19);Alicia; 514;(491);;Cleo; 225;(178); 55;'('75);;
 15;'('6);Ebba; 514;(590);;Cornelia; 160;(144); 80;'('85);;
 17;'('12);Agnes; 513;(556);;Ebba; 514;(590); 15;'('6);;
 18;'('16);Clara; 512;(519);;Edith; 266;(274); 42;'('46);;
 19;'('14);Saga; 509;(523);;Elin; 208;(211); 61;'('62);;
 20;'('25);Leah; 482;(438);;Elina; 138;(144); 91;'('85);;
 21;'('22);Stella; 480;(461);;Elise; 244;(278); 49;'('45);;
 22;'('15);Ellie; 470;(522);;Ella; 575;(582); 10;'('7);;
 23;'('18);Alva; 456;(496);;Ellen; 391;(428); 26;'('26);;
 24;'('21);Ester; 450;(485);;Ellie; 470;(522); 22;'('15);;
 25;'('23);Julia; 432;(452);;Elsa; 643;(560); 3;'('11);;
 26;'('26);Ellen; 391;(428);;Elsie; 143;(144); 88;'('85);;
 27;'('30);Luna; 351;(342);;Elvira; 241;(297); 51;'('40);;
 28;'('27);Molly; 342;(388);;Emilia; 249;(289); 45;'('42);;
 29;'('34);Hedda; 329;(320);;Emma; 243;(266); 50;'('47);;
 30;'('50);Lo; 328;(244);;Ester; 450;(485); 24;'('21);;
 31;'('31);Nova; 325;(322);;Felicia; 133;(145); 94;'('84);;
 32;'('35);Mila; 324;(313);;Filippa; 140;(169); 89;'('78);;
 33;'('28);Iris; 320;(353);;Freja; 596;(537); 6;'('13);;
 34;'('43);Sigrid; 316;(288);;Hailey; 197;(215); 64;'('60);;
 35;'('29);Sara; 310;(348);;Hanna; 182;(189); 70;'('69);;
 36;'('40);Linnea; 306;(297);;Hedda; 329;(320); 29;'('34);;
 37;'('38);Lova; 296;(302);;Hedvig; 162;(169); 78;'('78);;
 38;'('39);Juni; 292;(301);;Hilda; 165;(139); 76;'('89);;
 39;'('44);Celine; 287;(287);;Hilma; 184;(171); 68;'('77);;
 40;'('31);Nora; 286;(322);;Ida; 164;(195); 77;'('67);;
 41;'('31);Isabelle; 275;(322);;Idun; 122;(119); 100;'('Ny/New);;
 42;'('46);Edith; 266;(274);;Ilse; 152;(114); 83;'('Ny/New);;
 43;'('37);Sofia; 263;(303);;Ines; 528;(442); 14;'('24);;
